"","SusceptibleReal","SusceptibleAprox","ErrorrelativoS","ErrorAbsolutoS","InfectadosReal","InfectadosAprox","ErrorrelativoI","ErrorAbsolutoI","RecuperadosReal","RecuperadosAprox","ErrorrelativoR","ErrorAbsolutoR","ErrorRelativoS","ErrorRelativoI","ErrorRelativoR"
"1",1,0.99999743541411,0,2.56458588987485e-06,1.79521012293342e-05,2.56458588990489e-06,0,1.53875153394294e-05,8.97605061466712e-06,0,0,8.97605061466712e-06,0,0,NA
"2",0.999997278499431,0.999997278499431,0,0,2.66658028637634e-06,2.66658028637634e-06,0,0,5.49202829564577e-08,5.49202829564577e-08,0,0,0,0,0
"3",0.999997115344231,0.999997115344231,0,0,2.77263100581362e-06,2.77263100581362e-06,0,0,1.12024762758581e-07,1.12024762758581e-07,0,0,0,0,0
"4",0.999996945700329,0.999996945700329,0,0,2.88289936625302e-06,2.88289936625302e-06,0,0,1.7140030501728e-07,1.7140030501728e-07,0,0,0,0,0
"5",0.999996769309669,0.999996769309669,0,0,2.99755310109729e-06,2.99755310109729e-06,0,0,2.33137229945716e-07,2.33137229945716e-07,0,0,0,0,0
"6",0.999996585903936,0.999996585903936,0,0,3.11676661423048e-06,3.11676661423048e-06,0,0,2.97329449743297e-07,2.97329449743297e-07,0,0,0,0,0
"7",0.999996395204143,0.999996395204143,0,0,3.24072124527673e-06,3.24072124527673e-06,0,0,3.64074611442897e-07,3.64074611442897e-07,0,0,0,0,0
"8",0.999996196920209,0.999996196920209,0,0,3.36960554540592e-06,3.36960554540592e-06,0,0,4.33474245438535e-07,4.33474245438535e-07,0,0,0,0,0
"9",0.999995990750516,0.999995990750516,0,0,3.50361556410581e-06,3.50361556410581e-06,0,0,5.05633919919377e-07,5.05633919919377e-07,0,0,0,0,0
"10",0.999995776381451,0.999995776381451,0,0,3.64295514735625e-06,3.64295514735625e-06,0,0,5.80663401444887e-07,5.80663401444887e-07,0,0,0,0,0
